GEOID20,ADJ_GEOMS
04005000063,"['04005000080', '04025000030', '04005000092', '04005000062', '04005000022', '04005000023', '04005000041', '04005000024']"
04005000064,"['04005000060', '04025000013', '04005000097', '04025000043', '04005000066']"
04005000065,"['04005000090', '04005000061', '04005000093', '04005000071', '04005000047', '04005000067']"
04005000066,"['04005000097', '04025000043', '04005000098', '04005000064']"
04005000067,"['04005000075', '04005000065', '04005000071', '04005000047', '04005000073', '04005000074']"
04005000069,"['04005000092', '04005000088', '04017000001', '04017000046', '04005000051', '04005000043']"
04005000070,"['04005000048', '04005000043', '04005000095', '04005000093']"
04005000071,"['04017000034', '04005000075', '04005000061', '04005000065', '04005000067']"
04005000072,"['04005000075', '04005000073', '04005000074']"
04005000073,"['04005000075', '04005000067', '04005000072', '04005000074']"
04005000074,"['04005000075', '04005000067', '04005000072', '04005000073']"
04005000075,"['04005000058', '04005000042', '04005000071', '04005000047', '04005000067', '04005000072', '04005000073', '04005000074']"
04005000079,"['04005000056', '04005000040', '04005000099', '04005000098']"
04005000080,"['04025000035', '04005000083', '04025000030', '04005000062', '04005000082', '04005000063']"
04005000082,"['04005000083', '04005000080', '04025000041', '04005000040', '04005000062', '04025000090']"
04005000083,"['04025000035', '04005000080', '04025000041', '04005000082']"
04005000084,"['04005000056', '04005000040', '04005000062', '04005000004', '04005000021', '04005000006']"
04005000085,"['04005000092', '04005000051', '04005000052', '04005000086', '04005000050']"
04005000086,"['04005000051', '04005000085', '04005000018', '04005000050']"
04005000088,"['04017000030', '04005000048', '04017000047', '04005000069', '04017000046', '04005000043']"
04005000090,"['04017000034', '04005000048', '04005000061', '04005000093', '04005000065']"
04005000092,"['04017000043', '04017000058', '04005000053', '04005000069', '04005000051', '04005000085', '04005000052', '04005000063', '04005000050', '04005000026', '04005000041', '04005000024']"
04005000093,"['04005000048', '04005000095', '04005000070', '04005000090', '04005000065', '04005000047', '04005000094']"
04005000094,"['04005000042', '04005000095', '04005000093', '04005000047']"
04005000095,"['04005000043', '04005000042', '04005000070', '04005000093', '04005000094']"
04005000097,"['04005000060', '04005000058', '04005000056', '04005000059', '04005000098', '04005000064', '04005000066']"
04005000098,"['04005000056', '04005000099', '04005000079', '04005000097', '04025000043', '04005000066']"
04005000099,"['04005000040', '04025000090', '04005000079', '04025000039', '04025000066', '04025000043', '04005000098']"
04007000001,"['04007000010', '04007000013', '04007000040', '04007000024', '04007000023', '04007000007', '04007000018', '04007000009', '04007000002']"
04007000002,"['04007000001', '04007000009', '04007000003']"
04007000003,"['04007000007', '04007000009', '04007000002', '04007000004']"
04007000004,"['04007000008', '04007000007', '04007000009', '04007000003', '04007000006']"
04007000006,"['04007000007', '04007000012', '04007000004']"
04007000007,"['04007000010', '04007000001', '04007000003', '04007000012', '04007000006', '04007000004']"
04007000008,"['04021000001', '04007000054', '04007000014', '04007000009', '04007000017', '04007000015', '04007000012', '04007000004']"
04007000009,"['04007000008', '04007000001', '04007000018', '04007000002', '04007000003', '04007000017', '04007000004', '04007000016']"
04007000010,"['04009000016', '04021000103', '04007000054', '04007000011', '04007000040', '04007000001', '04007000007', '04007000012']"
04007000011,"['04017000056', '04007000010', '04007000040']"
04007000012,"['04007000054', '04007000010', '04007000008', '04007000007', '04007000006']"
04007000013,"['04021000052', '04007000014', '04013000673', '04007000001', '04007000023', '04007000018', '04007000017', '04007000015']"
04007000014,"['04021000001', '04021000052', '04007000008', '04007000013', '04007000015']"
04007000015,"['04007000008', '04007000014', '04007000013', '04007000017']"
04007000016,"['04007000018', '04007000009', '04007000017']"
04007000017,"['04007000008', '04007000013', '04007000018', '04007000009', '04007000015', '04007000016']"
04007000018,"['04007000013', '04007000001', '04007000009', '04007000017', '04007000016']"
04007000023,"['04013000673', '04007000013', '04007000001', '04007000024', '04007000025']"
04007000024,"['04007000040', '04007000038', '04007000001', '04007000023', '04007000025']"
04007000025,"['04013000673', '04007000038', '04007000026', '04013000266', '04007000024', '04007000023', '04007000037', '04013000648']"
04007000026,"['04025000046', '04007000039', '04013000266', '04007000025', '04007000032', '04007000028', '04007000027', '04007000037', '04007000031', '04007000030']"
04007000027,"['04007000026', '04007000037', '04007000030', '04007000034']"
04007000028,"['04007000026', '04007000032', '04007000031']"
04007000029,"['04007000033', '04007000031', '04007000030']"
04007000030,"['04007000026', '04007000033', '04007000027', '04007000031', '04007000034', '04007000029']"
04007000031,"['04007000026', '04007000033', '04007000032', '04007000028', '04007000030', '04007000029']"
04007000032,"['04007000039', '04007000026', '04007000051', '04007000033', '04007000028', '04007000031']"
04007000033,"['04007000036', '04007000035', '04007000051', '04007000032', '04007000031', '04007000030', '04007000034', '04007000029']"
04007000034,"['04007000036', '04007000038', '04007000033', '04007000027', '04007000037', '04007000030']"
04007000035,"['04005000053', '04005000041', '04007000036', '04007000051', '04007000033']"
04007000036,"['04005000053', '04007000035', '04007000038', '04007000033', '04007000034']"
