GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000173,3644,2700,756,37,62,164,15,2939,2118,664,16,4,116,0,3909,2815,658,80,96,301,16,3208,2446,463,50,64,199,9,3208,2446,463,33,166,2,2,4,92
4019000189,2189,1307,679,63,94,95,0,1667,1074,417,48,53,87,0,2850,1479,819,235,144,243,23,2358,1310,626,162,108,193,16,2358,1310,626,112,155,29,8,10,108
4019000049,2554,1814,661,73,35,63,0,1795,1383,377,30,0,15,0,2382,1419,635,145,73,120,25,1813,1140,435,114,49,77,20,1813,1140,435,82,56,14,15,18,53
4019000244,2040,121,1813,118,381,19,0,1239,106,1025,43,57,0,0,2077,137,1832,42,182,30,5,1519,122,1315,27,132,23,1,1519,122,1315,11,9,45,0,1,16
4019000025,5442,323,4829,194,957,78,8,3345,299,2809,92,120,12,0,5534,380,4811,139,423,56,11,4211,328,3622,82,309,42,8,4211,328,3622,55,22,111,1,16,56
4013000153,1384,1333,32,0,9,0,0,1355,1316,28,0,12,0,0,1426,1368,27,6,16,9,0,1417,1365,22,6,14,9,0,1417,1365,22,2,8,1,0,0,19
4013000428,65,31,25,7,1,0,0,59,47,7,0,0,0,0,72,48,14,0,7,4,1,65,46,10,0,6,3,1,65,46,10,0,2,3,0,0,4
4013000332,8628,4097,1765,499,487,1564,102,6452,3862,1489,423,355,276,0,7764,3835,1230,612,277,1912,38,6830,3445,958,477,213,1783,34,6830,3445,958,348,1660,102,14,28,275
4013000200,4184,3168,230,86,48,700,0,2646,2354,151,49,0,83,0,3566,2786,295,80,62,356,11,2952,2406,200,55,39,253,6,2952,2406,200,28,211,2,1,6,98
4013000321,18354,9083,3485,1202,498,4323,45,13563,8297,2818,942,308,1095,20,18453,8862,3312,1353,532,4637,101,17333,8515,2904,1180,450,4425,77,17333,8515,2904,879,3965,237,26,79,728
4013000565,6207,2639,2085,343,251,789,332,3608,1966,932,196,94,248,150,6480,2316,2741,694,351,557,48,4904,1971,1861,487,240,413,26,4904,1971,1861,412,346,105,10,24,175
4005000017,880,711,124,1,30,17,0,683,528,100,0,30,15,0,1386,575,575,39,207,25,4,989,460,358,28,137,19,3,989,460,358,18,14,104,0,4,31
4013000536,2594,2480,63,34,0,17,0,2541,2435,59,38,0,15,0,2988,2785,84,51,24,43,5,2963,2776,77,44,23,40,4,2963,2776,77,37,33,4,0,1,35
4013000197,1899,1485,178,122,58,77,0,1699,1425,110,65,51,50,0,2278,1887,214,67,56,64,4,2118,1798,170,46,52,57,3,2118,1798,170,35,40,27,0,6,42
4013000367,3032,509,2174,309,26,20,0,1907,467,1092,316,20,20,0,3488,402,2794,188,193,47,7,2579,383,1962,149,149,32,7,2579,383,1962,124,25,35,4,9,37
4007000028,3412,2958,154,36,102,190,0,3102,2788,74,14,79,137,0,3252,2697,285,33,160,70,4,2864,2453,212,28,115,55,3,2864,2453,212,13,44,46,0,6,90
4013000261,2936,1878,735,54,82,276,34,2344,1617,431,35,15,243,1,3393,2320,592,219,133,178,9,2925,2070,454,176,98,139,6,2925,2070,454,143,104,36,0,20,98
4005000002,1722,1322,172,31,180,47,0,1327,1098,93,15,88,10,0,1890,1349,219,52,175,71,5,1600,1193,171,39,120,47,4,1600,1193,171,25,28,86,0,24,73
