GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2400515-018,3629,2064,290,1110,119,61,14,2839,1777,183,736,77,47,14,3643,2068,290,1118,106,62,12,2839,1777,183,677,36,18,3,21,124
2400513-006,1813,992,239,425,44,128,2,1348,839,144,242,33,98,2,1828,999,239,428,38,134,2,1348,839,144,227,91,0,1,10,36
2400508-013,3609,2676,223,174,43,486,3,2805,2173,150,110,34,334,2,3611,2677,223,175,43,486,3,2805,2173,150,86,314,4,0,12,66
2400503-007,7063,5766,252,464,47,448,4,4428,3546,158,336,28,305,2,7066,5767,252,472,47,454,4,4428,3546,158,269,256,0,1,48,150
2400514-012,2774,2103,134,261,91,129,2,2261,1764,102,192,72,96,2,2778,2107,134,268,92,131,2,2261,1764,102,172,80,10,0,20,113
2400501-004,5738,1351,486,2228,83,1646,7,4608,1147,306,1902,55,1238,3,5757,1356,486,2233,69,1653,7,4608,1147,306,1808,1162,6,0,20,159
2400501-003,4645,1342,218,1709,69,1348,3,3801,1190,160,1387,56,1041,3,4650,1342,218,1711,66,1350,3,3801,1190,160,1328,980,4,2,14,123
2400501-010,4202,2989,304,559,67,297,18,3247,2364,189,447,52,194,11,4209,2990,305,554,63,300,18,3247,2364,189,400,168,3,1,16,106
2451026-024,3068,163,73,2769,36,77,2,2446,139,45,2211,24,56,2,3114,164,73,2777,36,75,2,2446,139,45,2154,50,2,1,12,43
2451027-026,1478,275,48,1110,8,42,0,1285,238,36,963,6,40,0,1491,275,48,1123,6,42,0,1285,238,36,924,39,0,0,12,36
2451013-007,1585,68,37,1482,31,11,2,1261,59,27,1175,26,11,1,1625,68,37,1492,26,10,1,1261,59,27,1130,5,1,0,3,36
2451015-002,1318,69,40,1202,14,9,2,1020,61,21,926,11,9,2,1337,69,40,1218,14,9,2,1020,61,21,907,6,5,0,3,17
2451027-067,3991,1168,934,1751,48,68,2,2961,797,598,1471,48,58,1,4007,1169,934,1793,44,66,2,2961,797,598,1404,30,8,0,43,81
2451011-002,760,241,71,331,21,122,1,723,232,59,314,21,120,1,762,241,71,331,21,121,1,723,232,59,271,104,1,0,3,53
2451012-012,2293,731,154,1293,69,117,2,1999,706,127,1060,57,98,1,2294,732,153,1265,63,116,1,1999,706,127,976,78,4,0,5,103
2451027-013,4573,803,232,3431,78,82,12,3505,698,148,2563,56,69,10,4609,803,232,3443,74,80,12,3505,698,148,2468,41,9,0,29,112
2401917-001,206,131,19,45,10,8,1,166,99,15,40,8,5,0,206,131,19,45,10,8,1,166,99,15,40,3,2,0,0,7
2401917-002,45,43,0,2,0,0,0,35,33,0,2,0,0,0,45,43,0,2,0,0,0,35,33,0,2,0,0,0,0,0
2401904-001,208,192,1,7,5,4,0,184,171,1,5,5,2,0,208,192,1,7,5,4,0,184,171,1,5,2,0,0,0,5
2401905-001,263,233,0,12,12,6,0,217,191,0,12,9,5,0,263,233,0,12,12,6,0,217,191,0,11,5,2,0,0,8
2400303-021,3662,2891,157,370,81,130,1,2758,2245,101,251,44,90,0,3669,2895,157,380,81,134,1,2758,2245,101,222,71,2,0,11,106
2403113-067,2451,1261,393,630,56,151,1,1822,949,280,488,38,93,1,2454,1261,393,633,56,150,1,1822,949,280,415,71,0,1,13,93
2403110-005,3212,1870,178,140,20,986,1,2415,1470,126,96,12,686,1,3212,1870,178,140,20,986,1,2415,1470,126,74,650,0,0,18,77
2403102-002,6818,2116,1069,1825,152,1821,15,4889,1674,743,1168,109,1293,5,6819,2117,1069,1830,146,1826,15,4889,1674,743,1044,1230,6,0,12,180
2403104-017,4835,2980,400,549,31,828,13,4227,2698,338,449,23,685,7,4836,2980,400,551,31,827,12,4227,2698,338,391,606,2,3,19,170
2403104-010,4460,2579,539,474,41,762,21,3689,2247,416,349,32,576,18,4460,2579,539,474,41,762,21,3689,2247,416,295,502,11,11,36,171
2403108-012,4195,2318,343,706,55,799,6,3124,1806,221,492,39,572,5,4196,2318,343,699,49,799,5,3124,1806,221,453,526,2,1,6,109
2403109-025,3313,892,585,702,64,1104,5,2615,741,440,493,42,914,3,3315,892,586,705,63,1108,4,2615,741,440,441,853,10,1,19,110
2403113-003,2840,2073,260,300,48,167,10,2258,1731,177,205,38,110,8,2840,2073,260,300,48,167,10,2258,1731,177,177,89,0,3,6,75
2400503-001,4595,381,199,3937,97,89,29,3791,365,123,3245,74,62,22,4616,382,199,3927,92,86,26,3791,365,123,3108,36,12,2,17,128
2400515-016,4072,2490,411,970,114,130,10,3149,2099,249,629,87,94,7,4087,2499,411,979,109,128,10,3149,2099,249,548,64,25,3,16,145
2400501-001,6233,732,636,4574,126,263,13,4831,662,426,3478,110,226,6,6268,733,636,4597,111,262,13,4831,662,426,3337,198,10,1,38,159
2400501-005,5880,1138,808,3100,136,805,14,4683,1020,555,2471,87,609,10,5907,1141,810,3095,121,808,13,4683,1020,555,2346,572,2,3,32,153
2400511-003,5021,4567,166,82,65,100,18,4150,3827,110,61,44,62,12,5024,4570,166,85,66,103,18,4150,3827,110,46,46,5,8,11,97
2400515-022,4542,4001,132,155,167,68,6,3611,3247,65,110,116,46,4,4559,4016,132,155,167,68,6,3611,3247,65,80,30,9,1,17,162
2400513-003,4153,3039,165,514,111,325,4,3254,2472,140,326,79,239,4,4157,3042,165,518,110,326,4,3254,2472,140,263,202,2,0,15,160
2400515-019,4541,3717,128,541,81,78,2,3841,3265,81,369,56,52,2,4550,3726,128,548,83,78,2,3841,3265,81,332,38,12,0,18,95
2451027-064,2604,1823,87,492,14,104,1,1832,1223,63,400,13,81,0,2607,1823,87,495,14,104,1,1832,1223,63,368,66,1,0,54,57
2451027-063,2614,1313,82,1094,25,71,7,1879,799,52,934,21,60,5,2616,1313,82,1094,25,70,7,1879,799,52,903,39,2,1,31,52
2403113-058,6207,2690,1622,1198,166,662,14,4773,2180,1108,949,132,493,13,6212,2692,1623,1212,152,664,14,4773,2180,1108,839,444,7,5,29,161
2403104-002,4717,2608,480,543,54,1059,5,3772,2197,317,412,40,809,5,4720,2608,480,544,47,1060,5,3772,2197,317,339,748,1,0,22,148
2403104-003,6511,3647,689,742,96,1355,16,5325,3063,506,594,69,1093,13,6513,3647,689,741,91,1362,16,5325,3063,506,498,998,8,4,35,213
2403113-059,2950,1251,584,800,63,323,2,2336,1011,402,662,42,260,2,2954,1252,585,810,60,327,1,2336,1011,402,592,221,0,0,15,95
2400301-017,2537,1403,340,639,71,97,7,1852,1133,221,385,49,68,6,2550,1412,341,643,71,99,7,1852,1133,221,334,58,3,6,9,88
2402307-001,2403,2292,26,30,25,14,4,1946,1863,22,16,18,9,3,2409,2298,26,30,26,14,4,1946,1863,22,9,4,5,0,3,40
2402314-001,2838,2717,29,33,29,25,10,2385,2290,18,25,25,21,10,2842,2720,29,34,29,25,9,2385,2290,18,16,7,0,0,0,54
2402306-001,2298,2033,62,123,45,38,7,1923,1702,43,112,37,29,6,2301,2036,62,123,45,38,7,1923,1702,43,95,19,6,0,6,52
2403107-028,2569,1688,241,113,28,501,3,1879,1292,151,73,18,333,2,2570,1688,241,115,28,502,3,1879,1292,151,60,313,3,0,2,58
2403110-003,3419,2106,256,229,36,778,6,2562,1681,168,138,22,530,5,3419,2106,256,229,36,778,6,2562,1681,168,107,496,3,0,16,91
2403107-012,3856,2849,298,108,59,514,4,2792,2153,196,74,37,325,4,3856,2849,298,108,59,514,4,2792,2153,196,44,297,5,0,10,87
2404707-001,6918,5991,412,207,130,169,6,6271,5557,295,163,91,139,2,6934,6003,414,210,128,169,5,6271,5557,295,125,101,10,0,11,172
24047ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2404704-001,3235,2705,98,329,51,47,2,2603,2218,62,257,41,28,1,3244,2709,98,335,51,47,2,2603,2218,62,221,22,5,1,4,70
2404704-003,588,502,26,30,9,15,2,477,409,23,20,8,11,2,593,506,26,33,10,15,2,477,409,23,19,9,2,0,2,13
2404702-002,1967,814,85,1019,28,25,3,1584,680,72,793,20,15,1,1982,816,86,1033,28,25,3,1584,680,72,764,14,4,0,5,45
2404702-005,2961,1564,243,1092,31,32,1,2138,1171,146,765,26,26,0,2978,1566,244,1109,29,31,1,2138,1171,146,732,21,2,0,14,52
2404701-001,6053,3325,244,2240,161,129,5,4663,2720,144,1614,120,94,5,6082,3329,244,2264,158,127,5,4663,2720,144,1524,74,18,0,17,166
2400301-018,4257,2099,425,1446,108,236,10,3504,1816,295,1159,80,192,6,4267,2103,426,1441,103,237,10,3504,1816,295,1072,158,3,3,10,147
2400301-009,2737,1986,191,328,39,184,7,2189,1640,128,242,36,137,7,2742,1989,191,331,37,185,7,2189,1640,128,219,103,1,4,5,89
2403103-002,3304,2299,383,270,62,283,5,2448,1812,226,157,40,189,3,3308,2300,383,277,63,285,5,2448,1812,226,130,159,0,0,18,103
2403103-001,3892,2886,330,276,81,296,4,2942,2269,229,185,53,171,3,3892,2886,330,276,81,296,4,2942,2269,229,161,148,11,0,17,107
2403113-006,3356,2156,304,628,67,204,6,2625,1716,214,529,44,122,6,3359,2158,304,632,66,205,6,2625,1716,214,464,68,1,1,8,153
2403105-023,8319,937,979,5061,131,1500,18,6199,817,684,3562,98,1209,14,8325,938,979,4990,120,1495,18,6199,817,684,3344,1137,13,1,32,171
2403105-018,2398,1124,419,389,69,428,9,1934,987,277,293,52,330,8,2399,1124,419,391,66,428,9,1934,987,277,249,304,11,4,24,78
2403113-036,5871,837,3312,705,239,1018,22,4437,718,2342,528,171,837,16,5876,837,3315,711,219,1030,20,4437,718,2342,437,792,10,0,29,109
2403113-025,6694,1056,2911,1913,182,800,11,5085,914,2184,1295,146,660,8,6704,1057,2916,1912,157,808,11,5085,914,2184,1214,614,14,3,33,109
2403113-034,3224,2052,484,323,69,334,7,2330,1535,340,215,49,217,7,3225,2052,485,325,67,339,7,2330,1535,340,170,193,2,1,10,79
2403107-002,2588,2269,125,40,11,120,5,1880,1717,61,28,9,52,3,2588,2269,125,40,11,120,5,1880,1717,61,8,38,1,0,4,51
2403107-026,6617,4340,670,496,51,985,8,5980,4019,577,419,28,854,5,6618,4341,670,495,49,987,8,5980,4019,577,352,748,2,0,39,243
2403109-031,5470,2573,552,1045,84,1244,28,4760,2378,440,831,71,1050,16,5471,2573,552,1045,72,1247,28,4760,2378,440,717,962,2,7,32,222
2403111-000,2352,1771,266,162,37,122,2,1914,1484,188,132,28,84,2,2354,1773,266,161,36,122,2,1914,1484,188,112,70,2,0,1,57
2403112-001,3241,2191,521,285,87,172,10,2490,1787,328,179,72,129,7,3242,2192,521,284,87,172,10,2490,1787,328,134,106,10,0,20,105
2403105-011,3730,870,876,1382,102,600,6,2994,789,621,1073,75,484,5,3732,870,876,1386,89,603,6,2994,789,621,1014,442,3,3,26,96
2403105-008,4314,1066,869,1677,81,738,10,3388,900,617,1302,59,595,5,4318,1067,870,1670,74,737,10,3388,900,617,1172,553,3,0,14,129
2400303-019,2706,2381,76,75,64,69,6,2107,1877,52,51,50,50,5,2711,2386,76,85,71,76,6,2107,1877,52,34,34,4,1,5,100
2400302-021,4297,2810,288,698,86,437,4,3400,2309,191,497,59,339,3,4300,2811,288,697,83,437,4,3400,2309,191,433,279,4,0,28,156
2400302-009,3938,1478,474,1445,108,489,10,3024,1243,340,1043,84,364,4,3947,1480,474,1453,99,496,9,3024,1243,340,971,328,10,0,27,105
2400302-016,2162,1469,268,257,46,143,13,1781,1254,195,190,36,116,11,2164,1471,268,254,44,142,12,1781,1254,195,165,84,0,5,9,69
2400303-005,4598,3234,276,756,104,246,7,3603,2614,168,558,71,176,6,4601,3235,276,767,98,252,7,3603,2614,168,502,140,5,3,15,156
2400306-010,2311,1685,201,283,36,110,8,2066,1531,148,265,29,90,5,2312,1686,201,282,35,109,8,2066,1531,148,236,61,2,1,11,76
2400306-026,3751,3091,177,241,60,150,8,3254,2730,119,199,52,123,5,3752,3092,177,243,61,152,8,3254,2730,119,172,94,10,0,15,114
2400306-003,2965,566,1232,1066,90,89,2,2309,516,812,893,59,73,1,2982,566,1233,1084,61,85,1,2309,516,812,844,65,3,0,10,59
2404701-002,1098,938,22,108,14,12,1,906,789,12,80,11,10,1,1101,940,22,109,13,12,1,906,789,12,76,8,1,0,1,19
2404702-001,824,327,12,437,18,30,1,569,242,5,286,16,18,0,834,327,12,446,18,29,1,569,242,5,274,14,1,0,3,30
2404706-003,2319,2120,50,57,31,53,1,1947,1788,36,51,21,43,1,2321,2122,50,58,31,54,1,1947,1788,36,39,38,4,1,3,38
2404704-004,2036,1588,79,290,51,33,2,1651,1297,53,240,41,22,1,2042,1590,79,293,49,33,2,1651,1297,53,233,11,3,0,5,49
2404706-002,1782,1570,80,73,26,51,2,1398,1255,55,47,18,32,0,1784,1572,80,71,26,50,2,1398,1255,55,25,29,3,0,0,31
2404104-001,4075,3481,150,294,110,34,15,3265,2828,89,239,65,23,7,4088,3486,150,305,108,32,15,3265,2828,89,230,8,2,0,21,87
2400307-019,1887,1584,92,57,50,72,0,1438,1234,63,37,43,51,0,1888,1584,92,60,50,82,0,1438,1234,63,27,30,5,0,15,64
2400307-005,5300,4053,739,184,143,159,8,4175,3346,480,131,105,101,4,5306,4058,740,187,143,159,8,4175,3346,480,95,71,9,0,15,159
2400303-011,2717,2483,39,33,73,48,2,2220,2053,24,22,47,39,2,2720,2486,39,42,83,63,3,2220,2053,24,21,29,3,2,2,86
2400303-018,3605,2877,201,269,100,151,8,2808,2303,126,192,68,114,2,3611,2882,201,272,102,155,8,2808,2303,126,147,83,4,1,21,123
2400303-010,2957,2623,133,78,51,56,6,2297,2062,83,51,48,39,4,2958,2624,133,78,51,56,6,2297,2062,83,32,18,2,0,10,90
2400306-017,2839,1724,493,490,52,117,6,2495,1632,345,413,35,92,6,2845,1725,493,491,43,115,6,2495,1632,345,369,65,0,2,4,78
2400306-006,3071,404,1370,1221,68,83,11,1982,352,823,749,44,61,8,3099,405,1372,1236,36,77,10,1982,352,823,687,49,1,3,6,61
2401305-006,670,597,24,22,12,16,1,601,554,14,18,7,9,1,670,597,24,22,12,16,1,601,554,14,12,6,0,0,1,14
2401311-001,3702,3333,86,121,84,60,4,2953,2702,52,82,66,31,2,3710,3341,86,124,85,61,4,2953,2702,52,58,24,6,0,2,109
2401309-001,4957,4437,136,126,98,103,7,3978,3627,84,100,58,61,3,4958,4438,136,126,99,104,7,3978,3627,84,76,38,0,0,18,135
2401306-002,6622,5884,239,181,162,137,14,5192,4686,142,135,109,91,12,6630,5890,239,187,159,140,14,5192,4686,142,110,62,9,3,12,168
2401302-002,2219,2035,62,32,36,40,0,1758,1657,32,15,23,23,0,2222,2038,62,32,36,40,0,1758,1657,32,9,21,0,0,4,35
2401307-002,4955,3858,570,261,121,129,7,3918,3190,351,169,93,101,7,4965,3866,570,263,121,132,7,3918,3190,351,135,73,16,0,20,133
2401309-002,2551,2295,80,48,47,56,11,2069,1898,58,28,35,26,7,2554,2298,80,49,47,56,10,2069,1898,58,19,11,0,0,4,79
2400512-001,4054,2187,1248,410,193,104,4,3049,1835,778,266,137,82,4,4068,2193,1249,416,180,107,4,3049,1835,778,225,66,20,0,14,111
2400512-003,5598,3419,1122,658,173,276,3,4318,2870,723,441,134,196,3,5616,3430,1123,662,164,276,3,4318,2870,723,368,171,37,0,8,141
2400501-007,3364,1233,188,1463,52,455,8,2594,1015,114,1090,42,353,6,3375,1234,188,1466,51,452,8,2594,1015,114,1028,331,2,0,10,94
2401509-002,2333,2146,58,52,44,28,4,1803,1660,38,33,40,18,4,2337,2150,58,51,44,28,4,1803,1660,38,30,15,4,0,8,48
2400306-024,2115,1464,104,446,19,74,4,1752,1209,79,395,12,46,0,2115,1464,104,446,19,74,4,1752,1209,79,362,36,0,0,11,55
2400306-023,2036,1713,132,101,26,49,3,1606,1393,88,70,15,34,3,2038,1714,132,102,26,48,3,1606,1393,88,55,20,0,0,5,45
2401305-004,11042,8694,453,951,156,756,18,8643,6888,318,797,116,483,8,10629,8588,441,659,155,754,18,8643,6888,318,755,398,15,2,29,238
2401305-003,3642,3068,107,157,85,204,3,2777,2432,54,96,58,120,2,3644,3069,107,159,86,208,3,2777,2432,54,73,96,12,0,6,104
2401314-002,7586,6606,350,254,152,224,3,6006,5328,223,164,112,143,3,7592,6612,350,255,154,225,3,6006,5328,223,135,112,8,0,13,187
2401314-003,1299,1128,55,30,24,51,0,1018,901,27,22,22,35,0,1300,1129,55,30,24,51,0,1018,901,27,13,25,2,0,10,40
2401306-001,8004,7162,246,266,118,139,3,6207,5697,147,167,75,88,2,8009,7166,247,273,119,144,3,6207,5697,147,138,72,6,0,9,138
2404706-001,3976,3615,93,118,40,100,1,3474,3237,51,66,27,76,0,3978,3616,93,122,41,100,1,3474,3237,51,60,56,6,0,11,53
2401910-001,272,253,7,5,10,2,0,243,229,5,4,6,1,0,275,255,7,6,10,2,0,243,229,5,3,1,3,0,2,0
2401503-001,7023,4493,558,1586,161,304,19,5357,3608,367,1094,112,203,12,7040,4505,558,1567,154,305,16,5357,3608,367,940,158,8,4,26,246
2401508-001,3973,3598,111,64,112,49,5,3165,2896,55,38,99,34,4,3981,3605,111,67,114,52,5,3165,2896,55,33,15,11,0,10,145
2401916-001,516,457,19,27,5,14,2,402,375,7,13,4,6,2,516,457,19,27,5,14,2,402,375,7,12,4,3,0,0,1
2401907-004,938,426,38,456,9,14,1,759,382,14,347,7,10,1,940,426,38,456,9,14,1,759,382,14,340,10,1,0,5,7
2401918-001,55,46,1,4,3,2,1,52,46,0,2,2,0,1,55,46,1,4,3,2,1,52,46,0,1,0,2,1,0,2
2401906-001,423,386,24,3,11,1,1,361,332,20,3,9,0,1,424,387,24,3,11,1,0,361,332,20,2,0,5,0,0,2
2403504-002,7338,6176,353,447,144,192,12,5977,5148,239,320,110,144,10,7348,6186,353,464,141,198,12,5977,5148,239,268,113,8,2,12,187
2404101-005,4050,3168,337,382,94,87,7,3306,2673,224,292,68,58,2,4058,3171,337,387,88,86,7,3306,2673,224,267,43,5,0,9,85
2404101-003,4680,2656,780,1030,83,175,14,3489,2146,462,718,53,124,8,4690,2657,781,1034,77,175,14,3489,2146,462,673,109,5,5,15,74
2403504-003,5608,4933,186,194,99,166,8,4387,3942,121,137,64,111,3,5615,4939,186,196,99,167,8,4387,3942,121,89,78,4,0,12,141
2403504-001,3599,3191,111,119,71,72,6,2777,2494,71,91,49,52,4,3603,3194,111,123,72,74,6,2777,2494,71,76,30,3,2,16,85
2400301-020,3073,1192,349,1086,85,431,15,2530,1035,256,894,53,332,7,3082,1194,349,1081,78,427,15,2530,1035,256,813,279,2,4,10,131
2400307-021,3122,2562,143,314,65,44,4,2511,2083,87,259,50,36,3,3126,2566,143,315,64,44,4,2511,2083,87,246,26,2,0,7,60
2400307-009,4753,2486,1214,837,171,84,8,3554,2060,680,650,130,56,6,4768,2494,1214,862,159,84,7,3554,2060,680,583,37,16,2,17,159
2404702-004,766,336,56,358,10,14,0,657,282,41,320,8,9,0,773,337,57,364,8,14,0,657,282,41,301,6,0,0,1,26
2404703-002,2353,2113,81,85,28,44,2,1976,1803,60,50,22,34,1,2354,2114,81,84,28,44,2,1976,1803,60,38,23,4,0,0,48
2404703-001,4188,3745,137,147,62,86,1,3474,3151,96,96,54,62,1,4194,3749,137,150,61,85,1,3474,3151,96,80,41,9,0,12,85
2403505-001,2484,1994,196,184,43,56,5,1985,1644,127,140,27,36,2,2488,1997,196,185,36,55,5,1985,1644,127,130,19,4,0,8,53
2403504-006,2901,2649,64,55,47,69,3,2356,2166,48,35,38,56,2,2903,2650,64,58,47,69,3,2356,2166,48,21,43,5,0,8,65
2400301-014,2975,1858,433,525,75,121,7,2319,1527,288,374,61,89,6,2977,1858,433,520,69,120,7,2319,1527,288,311,63,10,2,9,109
2404304-001,3062,2880,44,33,53,41,4,2431,2299,34,22,43,28,4,3069,2885,44,35,54,41,4,2431,2299,34,16,17,1,1,0,63
2404306-001,2683,2397,101,54,69,47,0,2194,1994,61,32,51,35,0,2685,2399,101,54,69,47,0,2194,1994,61,20,27,1,0,7,84
2404306-002,3799,3263,179,173,100,67,4,2858,2516,117,104,55,48,0,3802,3265,179,172,98,67,4,2858,2516,117,79,35,4,0,15,92
2404319-001,2568,2365,38,57,58,32,3,1968,1828,28,33,46,21,3,2569,2366,38,57,58,32,3,1968,1828,28,23,11,6,1,3,68
2404308-001,2486,2267,72,50,72,24,2,1962,1801,44,30,48,21,1,2489,2270,72,50,72,24,1,1962,1801,44,16,14,5,0,5,77
2404325-001,1592,549,162,829,58,26,6,1161,442,108,564,41,18,3,1621,556,165,838,53,26,4,1161,442,108,500,6,4,0,6,95
2404320-001,2112,1994,34,26,32,21,4,1739,1651,28,20,21,14,0,2115,1997,34,27,36,21,4,1739,1651,28,9,9,3,0,6,33
2400306-008,2393,1624,416,231,51,78,4,2000,1478,253,186,43,37,1,2395,1624,416,237,51,78,4,2000,1478,253,158,31,3,0,9,68
2400303-008,4174,2364,533,999,116,220,10,3324,2036,317,748,93,158,10,4183,2367,533,997,114,219,10,3324,2036,317,680,124,12,0,8,147
2400307-006,4224,3631,262,137,92,115,4,3303,2897,161,92,70,88,2,4226,3631,262,140,92,115,4,3303,2897,161,67,45,4,0,6,123
2400307-010,3138,2739,145,81,76,83,7,2402,2137,86,56,54,59,4,3140,2741,145,80,71,81,7,2402,2137,86,35,32,2,1,9,100
2400304-024,3892,1068,378,2192,89,303,9,3024,925,288,1600,74,235,8,3897,1068,378,2168,78,298,9,3024,925,288,1464,184,2,4,13,144
2400301-026,6724,1065,952,4462,149,357,15,4510,859,554,2882,101,263,4,6752,1068,952,4381,131,339,15,4510,859,554,2655,201,13,0,18,210
2400304-026,1689,764,143,580,35,199,14,1453,707,112,464,21,154,11,1692,767,143,574,34,202,14,1453,707,112,420,123,6,5,14,66
2400304-007,10286,4591,1632,3369,325,754,93,7062,3241,1005,2278,206,497,55,10286,4591,1632,3369,325,754,93,7062,3241,1005,1937,337,29,30,43,440
2400304-012,2857,1699,249,623,71,246,20,2248,1391,166,449,48,187,15,2859,1699,249,615,68,245,20,2248,1391,166,414,152,12,5,12,96
2400304-020,2837,1750,188,626,47,263,13,2271,1466,119,474,34,200,8,2838,1750,188,630,47,264,13,2271,1466,119,403,167,4,0,5,107
2404516-003,2127,1486,130,393,45,78,4,1649,1210,84,268,37,57,3,2134,1488,130,397,41,78,4,1649,1210,84,244,45,1,0,3,62
2404516-004,1474,745,173,492,30,31,0,1133,611,110,370,16,19,0,1488,748,174,511,27,31,0,1133,611,110,358,13,0,0,6,35
2404516-001,504,390,18,78,14,2,1,410,327,12,58,8,2,0,506,391,18,76,14,2,1,410,327,12,56,1,0,0,1,13
2404517-001,1526,1152,32,283,42,24,1,1263,977,17,215,33,20,1,1529,1154,32,283,41,24,1,1263,977,17,197,11,2,0,7,52
2403901-002,2691,1267,137,1214,49,33,1,2180,1066,79,981,36,23,0,2711,1275,138,1224,48,33,1,2180,1066,79,950,16,1,0,5,63
2403901-001,1246,593,58,560,35,19,2,937,485,35,386,30,13,2,1252,594,58,565,35,19,2,937,485,35,359,10,9,0,1,38
2403901-003,934,253,34,610,23,28,3,689,226,12,419,12,22,2,942,254,34,616,23,27,2,689,226,12,405,16,6,0,2,22
2404501-003,1212,1053,28,94,29,16,3,892,809,15,49,16,6,0,1222,1063,28,91,27,16,2,892,809,15,42,5,0,0,0,21
2404501-002,1324,1074,30,184,13,27,1,1000,814,21,140,9,18,1,1334,1081,30,186,14,27,1,1000,814,21,132,17,0,0,0,16
2402303-002,756,722,10,6,6,4,0,617,592,7,2,6,2,0,757,723,10,6,6,4,0,617,592,7,2,1,0,0,2,13
2402303-001,2691,2607,16,19,18,10,3,2170,2104,9,12,18,6,2,2693,2609,16,19,18,10,3,2170,2104,9,8,2,0,0,8,39
2403109-037,3389,731,1083,839,86,717,16,2637,656,807,609,56,567,9,3391,731,1083,834,81,721,16,2637,656,807,539,533,0,0,19,83
2403109-039,66,10,22,19,1,11,7,52,10,17,14,1,7,7,66,10,22,19,1,11,7,52,10,17,12,6,0,6,0,1
2403106-010,5624,1428,1529,1769,155,916,5,4346,1274,1080,1272,119,700,4,5633,1430,1530,1784,126,928,5,4346,1274,1080,1132,659,17,0,38,146
2403107-004,6665,4437,684,527,62,920,11,5690,3934,513,422,43,730,8,6666,4438,684,529,62,923,11,5690,3934,513,357,634,4,2,51,195
2403107-011,4597,3325,412,261,41,506,5,3586,2614,329,205,33,372,5,4598,3325,413,261,41,506,5,3586,2614,329,164,326,1,4,32,116
2403104-031,4662,2648,517,518,59,908,5,3949,2390,391,378,40,725,3,4662,2648,517,518,59,908,5,3949,2390,391,329,649,3,2,26,159
2403113-044,7422,1437,3342,1824,193,882,10,5445,1169,2219,1361,144,734,7,7424,1437,3342,1824,183,885,10,5445,1169,2219,1155,677,12,1,38,174
2403113-032,6538,1446,1880,2398,172,832,10,5309,1306,1406,1933,140,669,5,6542,1446,1882,2412,141,835,10,5309,1306,1406,1776,620,3,5,39,154
2403107-016,2800,1837,298,337,42,317,7,2163,1468,212,252,33,211,5,2800,1837,298,337,42,317,7,2163,1468,212,210,174,2,0,12,85
2403107-009,4664,2988,555,398,51,669,22,3683,2377,426,328,36,510,18,4664,2988,555,398,51,669,22,3683,2377,426,253,411,5,10,25,176
2403113-039,3079,1961,365,448,29,253,8,2363,1525,260,342,18,184,6,3080,1962,365,449,28,253,8,2363,1525,260,288,151,0,3,37,99
2403105-022,2047,926,352,435,34,345,2,1674,810,260,355,27,252,2,2048,926,352,437,34,344,2,1674,810,260,297,223,0,0,7,77
2403107-023,5760,3917,471,268,51,1043,5,4272,3013,322,188,29,720,4,5760,3917,471,268,51,1043,5,4272,3013,322,142,656,3,3,27,106
2403109-024,4549,982,1274,1216,123,1095,10,3278,814,833,788,81,823,6,4554,983,1275,1207,77,1108,10,3278,814,833,697,803,0,6,31,94
2403109-029,4099,1208,1102,1286,123,528,11,3168,1034,771,915,96,418,9,4105,1211,1102,1283,96,530,10,3168,1034,771,826,396,9,1,18,113
2403107-032,1958,1459,102,249,9,137,1,1637,1268,80,181,9,89,0,1959,1459,102,256,9,139,1,1637,1268,80,168,74,0,0,10,37
2403107-003,4023,2757,308,191,25,688,5,3070,2179,206,132,16,496,5,4024,2758,308,191,25,695,5,3070,2179,206,96,444,0,3,21,121
2403107-022,3117,2183,260,157,20,450,3,2265,1669,166,96,16,279,3,3117,2183,260,157,20,450,3,2265,1669,166,63,254,0,1,23,89
2403110-007,3831,2462,297,275,24,732,10,2857,1953,172,168,9,532,9,3831,2462,297,275,24,732,10,2857,1953,172,159,471,1,0,3,98
2403101-003,6107,1921,1720,1758,131,755,13,4669,1640,1165,1271,81,577,12,6113,1923,1721,1753,108,755,11,4669,1640,1165,1134,519,0,0,43,168
2404705-002,4073,3666,114,124,56,70,2,3444,3164,82,70,50,45,2,4081,3673,114,136,59,70,2,3444,3164,82,57,36,9,1,16,79
24039ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
