GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2402105-001,7415,6056,356,690,152,184,38,6087,5001,269,536,126,159,27,7417,6058,356,689,151,184,38,6087,5001,269,449,102,10,18,7,231
2402107-003,3489,2698,273,189,68,259,5,2656,2114,186,116,51,183,1,3490,2699,273,185,66,263,4,2656,2114,186,85,151,7,0,17,96
2402107-004,4225,2518,401,416,84,844,5,2894,1809,245,268,61,534,3,4225,2518,401,416,84,844,5,2894,1809,245,220,496,8,0,7,109
2402123-001,7704,4394,1151,1474,143,620,19,5922,3708,737,980,87,436,10,7708,4397,1151,1478,135,623,19,5922,3708,737,838,370,1,6,30,232
2402123-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402106-001,2063,1915,43,38,36,23,2,1687,1596,18,19,27,15,2,2065,1917,43,38,36,26,2,1687,1596,18,12,8,3,0,0,50
2402103-001,2811,2509,125,73,49,54,10,2171,1976,83,44,37,31,5,2811,2509,125,73,49,54,10,2171,1976,83,27,24,1,0,3,57
2402114-001,4357,3727,213,178,110,135,6,3534,3100,147,125,73,92,4,4361,3730,213,176,107,136,6,3534,3100,147,107,60,11,1,4,104
2402114-002,624,566,12,22,8,14,2,500,463,5,11,6,8,1,624,566,12,22,8,14,2,500,463,5,7,0,0,0,2,23
2400901-002,4153,2608,229,1128,133,90,14,3101,2015,130,847,81,42,10,4166,2613,229,1132,132,90,14,3101,2015,130,761,24,8,2,7,154
2400901-006,4810,3429,233,821,161,161,11,3602,2632,149,570,116,133,5,4816,3431,233,832,162,163,11,3602,2632,149,506,85,10,0,14,206
24009ZZZZZZ,13,2,3,4,0,4,0,12,1,3,4,0,4,0,13,2,3,4,0,4,0,12,1,3,4,2,0,0,0,2
2400901-003,3550,2711,178,493,99,77,6,2744,2162,110,340,77,57,2,3560,2717,178,509,95,78,6,2744,2162,110,285,22,3,1,12,149
2400903-005,4026,2857,173,777,95,112,13,3099,2215,93,647,61,71,8,4035,2859,173,799,91,111,11,3099,2215,93,606,49,7,4,5,120
2400903-004,3727,2978,170,407,100,103,5,2869,2355,108,281,70,61,5,3731,2981,170,415,98,106,5,2869,2355,108,215,31,3,1,11,145
2402102-011,4695,2552,722,1156,110,243,12,3782,2250,489,813,80,180,11,4709,2556,723,1156,96,240,12,3782,2250,489,702,153,11,7,14,156
2402107-002,7756,3552,988,1070,137,2064,15,5085,2370,630,675,76,1354,11,7758,3553,988,1070,135,2068,15,5085,2370,630,594,1269,3,4,29,186
2402107-005,154,120,9,5,2,22,0,126,103,6,3,1,15,0,154,120,9,5,2,22,0,126,103,6,0,9,0,0,0,8
2402109-009,2660,1642,283,412,79,280,4,1923,1261,173,277,59,172,0,2662,1643,283,412,79,280,4,1923,1261,173,254,155,4,0,6,70
2402109-003,786,547,83,60,17,79,1,593,441,52,32,11,52,0,786,547,83,60,17,79,1,593,441,52,26,49,4,0,1,20
2402112-001,4628,3446,389,549,130,146,1,3354,2590,240,364,96,95,0,4632,3450,389,553,134,151,1,3354,2590,240,304,75,6,0,9,130
2402112-002,6,3,3,0,0,0,0,6,3,3,0,0,0,0,6,3,3,0,0,0,0,6,3,3,0,0,0,0,0,0
2400903-008,5319,3960,254,794,105,196,32,3784,2891,143,540,75,123,16,5321,3961,254,788,105,196,32,3784,2891,143,454,74,3,7,20,192
2400901-005,4816,3390,285,953,127,91,8,3585,2595,188,652,93,57,5,4825,3394,285,972,120,89,8,3585,2595,188,581,35,11,0,13,162
2400901-007,4131,3133,146,616,114,105,13,3214,2522,89,440,72,70,12,4141,3139,146,623,115,104,14,3214,2522,89,379,41,9,1,12,161
2402110-001,2407,2170,82,76,53,32,6,1907,1732,61,48,45,26,3,2409,2171,82,76,53,32,6,1907,1732,61,26,10,1,0,1,76
2402102-010,6397,3431,1127,1406,144,393,15,4955,2920,747,962,100,279,13,6402,3433,1127,1398,137,391,15,4955,2920,747,839,228,3,11,16,191
2402102-005,5976,4378,543,707,135,249,29,4945,3803,372,514,86,169,22,5978,4380,543,707,134,248,29,4945,3803,372,428,134,7,14,50,137
2402102-018,2745,1581,265,663,69,236,4,1951,1176,171,424,44,163,3,2747,1581,265,662,69,235,4,1951,1176,171,374,128,1,1,13,87
2402102-015,6077,4101,523,1040,97,360,12,5033,3645,362,716,65,255,9,6082,4103,523,1048,94,360,11,5033,3645,362,626,214,2,0,10,174
2402102-007,5370,3460,707,886,110,280,11,4443,3034,497,665,87,201,4,5377,3461,707,886,97,282,10,4443,3034,497,574,152,0,1,18,167
2403321-005,4075,303,2096,1381,178,336,7,3119,273,1491,1104,143,288,5,4079,303,2098,1376,109,329,6,3119,273,1491,999,262,12,0,20,62
2403302-003,3987,892,654,2297,89,150,6,3002,690,424,1764,62,121,5,3996,893,655,2290,73,146,6,3002,690,424,1673,87,4,2,9,113
2403306-022,5544,79,296,5154,52,44,1,4293,70,191,4014,39,38,1,5566,79,296,5130,47,42,1,4293,70,191,3919,24,1,0,10,78
2403306-021,861,34,171,639,17,28,0,677,32,106,520,13,17,0,866,34,171,638,16,26,0,677,32,106,495,15,0,0,3,26
2403310-009,6636,745,2240,3396,214,295,8,4886,693,1439,2527,164,229,7,6644,745,2243,3384,125,295,8,4886,693,1439,2392,213,10,2,32,105
2402102-004,10105,2756,4223,2155,284,946,18,7276,2335,2716,1495,200,701,11,10126,2762,4227,2160,221,952,17,7276,2335,2716,1293,644,4,4,34,246
2402102-001,5207,2441,1045,1298,135,399,7,4145,2146,718,948,92,287,4,5225,2443,1046,1311,127,398,7,4145,2146,718,854,247,11,1,32,136
